Id,Date,Message,Description,EntryDateTime,Status,NumberOfExchangeRates,NumberOfCrossRates
117,2005-04-27 00:00:00,,,2021-11-06 02:23:16.2227585,1,18,11
118,2005-04-28 00:00:00,,,2021-11-06 02:23:17.1463141,1,18,11
119,2005-04-29 00:00:00,,,2021-11-06 02:23:17.9516782,1,18,11
120,2005-04-30 00:00:00,Weekend,,2021-11-06 02:23:18.7690695,0,0,0
121,2005-05-01 00:00:00,Weekend,,2021-11-06 02:23:18.798191,0,0,0
122,2005-05-02 00:00:00,,,2021-11-06 02:23:18.8259951,1,18,11
123,2005-05-03 00:00:00,,,2021-11-06 02:23:19.653944,1,18,11
124,2005-05-04 00:00:00,,,2021-11-06 02:23:20.4918969,1,18,11
125,2005-05-05 00:00:00,,,2021-11-06 02:23:21.3277491,1,18,11
126,2005-05-06 00:00:00,,,2021-11-06 02:23:22.1752949,1,18,11
127,2005-05-07 00:00:00,Weekend,,2021-11-06 02:23:23.0280926,0,0,0
128,2005-05-08 00:00:00,Weekend,,2021-11-06 02:23:23.0646862,0,0,0
129,2005-05-09 00:00:00,,,2021-11-06 02:23:23.1106398,1,18,11
130,2005-05-10 00:00:00,,,2021-11-06 02:23:23.968291,1,18,11
131,2005-05-11 00:00:00,,,2021-11-06 02:23:24.8498462,1,18,11
132,2005-05-12 00:00:00,,,2021-11-06 02:23:25.7173934,1,18,11
133,2005-05-13 00:00:00,,,2021-11-06 02:23:26.6310546,1,18,11
134,2005-05-14 00:00:00,Weekend,,2021-11-06 02:23:27.5051795,0,0,0
135,2005-05-15 00:00:00,Weekend,,2021-11-06 02:23:27.5352144,0,0,0
136,2005-05-16 00:00:00,,,2021-11-06 02:23:27.5659573,1,18,11
137,2005-05-17 00:00:00,,,2021-11-06 02:23:28.4532278,1,18,11
138,2005-05-18 00:00:00,,,2021-11-06 02:23:29.3605864,1,18,11
139,2005-05-19 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:24:45.5261573,0,0,0
140,2005-05-20 00:00:00,,,2021-11-06 02:24:46.1564176,1,18,11
141,2005-05-21 00:00:00,Weekend,,2021-11-06 02:24:46.8361574,0,0,0
142,2005-05-22 00:00:00,Weekend,,2021-11-06 02:24:46.8445661,0,0,0
143,2005-05-23 00:00:00,,,2021-11-06 02:24:46.8531169,1,18,11
144,2005-05-24 00:00:00,,,2021-11-06 02:24:47.1977436,1,18,11
145,2005-05-25 00:00:00,,,2021-11-06 02:24:47.5147063,1,18,11
146,2005-05-26 00:00:00,,,2021-11-06 02:24:47.9211539,1,18,11
147,2005-05-27 00:00:00,,,2021-11-06 02:24:48.3625148,1,18,11
148,2005-05-28 00:00:00,Weekend,,2021-11-06 02:24:48.6730825,0,0,0
149,2005-05-29 00:00:00,Weekend,,2021-11-06 02:24:48.6820626,0,0,0
150,2005-05-30 00:00:00,,,2021-11-06 02:24:48.691164,1,18,11
151,2005-05-31 00:00:00,,,2021-11-06 02:24:49.0082049,1,18,11
152,2005-06-01 00:00:00,,,2021-11-06 02:24:49.3192256,1,18,11
153,2005-06-02 00:00:00,,,2021-11-06 02:25:01.8213709,1,18,11
154,2005-06-03 00:00:00,,,2021-11-06 02:25:02.152642,1,18,11
155,2005-06-04 00:00:00,Weekend,,2021-11-06 02:25:02.4894319,0,0,0
156,2005-06-05 00:00:00,Weekend,,2021-11-06 02:25:02.4997574,0,0,0
157,2005-06-06 00:00:00,,,2021-11-06 02:25:02.5095531,1,18,11
158,2005-06-07 00:00:00,,,2021-11-06 02:25:02.8489903,1,18,11
159,2005-06-08 00:00:00,,,2021-11-06 02:25:03.156245,1,18,11
160,2005-06-09 00:00:00,,,2021-11-06 02:25:03.5103018,1,18,11
161,2005-06-10 00:00:00,,,2021-11-06 02:25:03.8537552,1,18,11
162,2005-06-11 00:00:00,Weekend,,2021-11-06 02:25:04.1905418,0,0,0
163,2005-06-12 00:00:00,Weekend,,2021-11-06 02:25:04.2016784,0,0,0
164,2005-06-13 00:00:00,,,2021-11-06 02:25:04.2124432,1,18,11
165,2005-06-14 00:00:00,,,2021-11-06 02:25:04.5753246,1,18,11
166,2005-06-15 00:00:00,,,2021-11-06 02:25:04.9358266,1,18,11
167,2005-06-16 00:00:00,,,2021-11-06 02:25:05.3165201,1,18,11
168,2005-06-17 00:00:00,,,2021-11-06 02:25:05.6834822,1,18,11
169,2005-06-18 00:00:00,Weekend,,2021-11-06 02:25:06.1085408,0,0,0
170,2005-06-19 00:00:00,Weekend,,2021-11-06 02:25:06.1245319,0,0,0
171,2005-06-20 00:00:00,,,2021-11-06 02:25:06.1446378,1,18,11
172,2005-06-21 00:00:00,,,2021-11-06 02:25:06.5178356,1,18,11
173,2005-06-22 00:00:00,,,2021-11-06 02:25:06.9354678,1,18,11
174,2005-06-23 00:00:00,,,2021-11-06 02:25:07.3413015,1,18,11
175,2005-06-24 00:00:00,,,2021-11-06 02:25:07.7737134,1,18,11
176,2005-06-25 00:00:00,Weekend,,2021-11-06 02:25:08.2123554,0,0,0
177,2005-06-26 00:00:00,Weekend,,2021-11-06 02:25:08.2260451,0,0,0
178,2005-06-27 00:00:00,,,2021-11-06 02:25:08.239376,1,18,11
179,2005-06-28 00:00:00,,,2021-11-06 02:25:08.6754893,1,18,11
180,2005-06-29 00:00:00,,,2021-11-06 02:25:09.1464374,1,18,11
181,2005-06-30 00:00:00,,,2021-11-06 02:25:09.5942799,1,18,11
182,2005-07-01 00:00:00,,,2021-11-06 02:25:10.0387484,1,18,11
183,2005-07-02 00:00:00,Weekend,,2021-11-06 02:25:20.5220751,0,0,0
184,2005-07-03 00:00:00,Weekend,,2021-11-06 02:25:20.5352549,0,0,0
185,2005-07-04 00:00:00,,,2021-11-06 02:25:20.5492705,1,18,11
186,2005-07-05 00:00:00,,,2021-11-06 02:25:21.0209662,1,18,11
187,2005-07-06 00:00:00,,,2021-11-06 02:25:21.5200102,1,18,11
188,2005-07-07 00:00:00,,,2021-11-06 02:25:22.0065369,1,18,11
189,2005-07-08 00:00:00,,,2021-11-06 02:25:22.500186,1,18,11
190,2005-07-09 00:00:00,Weekend,,2021-11-06 02:25:22.9832472,0,0,0
191,2005-07-10 00:00:00,Weekend,,2021-11-06 02:25:22.9990767,0,0,0
192,2005-07-11 00:00:00,,,2021-11-06 02:25:23.0145355,1,18,11
193,2005-07-12 00:00:00,,,2021-11-06 02:25:23.5585897,1,18,11
194,2005-07-13 00:00:00,,,2021-11-06 02:25:24.1042619,1,18,11
195,2005-07-14 00:00:00,,,2021-11-06 02:25:24.6697346,1,18,11
196,2005-07-15 00:00:00,,,2021-11-06 02:25:25.1808027,1,18,11
197,2005-07-16 00:00:00,Weekend,,2021-11-06 02:25:25.8087926,0,0,0
198,2005-07-17 00:00:00,Weekend,,2021-11-06 02:25:25.8309372,0,0,0
199,2005-07-18 00:00:00,,,2021-11-06 02:25:25.8515315,1,18,11
200,2005-07-19 00:00:00,,,2021-11-06 02:25:26.5340376,1,18,11
201,2005-07-20 00:00:00,,,2021-11-06 02:25:27.2097209,1,18,11
202,2005-07-21 00:00:00,,,2021-11-06 02:25:27.8369258,1,18,11
203,2005-07-22 00:00:00,,,2021-11-06 02:25:28.3479394,1,18,11
204,2005-07-23 00:00:00,Weekend,,2021-11-06 02:25:28.8966726,0,0,0
205,2005-07-24 00:00:00,Weekend,,2021-11-06 02:25:28.9154809,0,0,0
206,2005-07-25 00:00:00,,,2021-11-06 02:25:28.9343234,1,18,11
207,2005-07-26 00:00:00,,,2021-11-06 02:25:29.4421729,1,18,11
208,2005-07-27 00:00:00,,,2021-11-06 02:25:29.9812569,1,18,11
209,2005-07-28 00:00:00,,,2021-11-06 02:25:30.5089362,1,18,11
210,2005-07-29 00:00:00,,,2021-11-06 02:25:31.0570077,1,18,11
211,2005-07-30 00:00:00,Weekend,,2021-11-06 02:25:31.6391727,0,0,0
212,2005-07-31 00:00:00,Weekend,,2021-11-06 02:25:31.6580946,0,0,0
213,2005-08-01 00:00:00,,,2021-11-06 02:25:31.6766343,1,18,11
214,2005-08-02 00:00:00,,,2021-11-06 02:25:42.2652305,1,18,11
215,2005-08-03 00:00:00,,,2021-11-06 02:25:42.836052,1,18,11
216,2005-08-04 00:00:00,,,2021-11-06 02:25:43.3951963,1,18,11
217,2005-08-05 00:00:00,,,2021-11-06 02:25:44.0276757,1,18,11
218,2005-08-06 00:00:00,Weekend,,2021-11-06 02:25:44.6525922,0,0,0
219,2005-08-07 00:00:00,Weekend,,2021-11-06 02:25:44.6727512,0,0,0
220,2005-08-08 00:00:00,,,2021-11-06 02:25:44.6928811,1,18,11
221,2005-08-09 00:00:00,,,2021-11-06 02:25:45.2825173,1,18,11
222,2005-08-10 00:00:00,,,2021-11-06 02:25:45.9353734,1,18,11
223,2005-08-11 00:00:00,,,2021-11-06 02:25:46.5306095,1,18,11
224,2005-08-12 00:00:00,,,2021-11-06 02:25:47.1761031,1,18,11
225,2005-08-13 00:00:00,Weekend,,2021-11-06 02:25:47.7838312,0,0,0
226,2005-08-14 00:00:00,Weekend,,2021-11-06 02:25:47.8037518,0,0,0
227,2005-08-15 00:00:00,,,2021-11-06 02:25:47.8251954,1,18,11
228,2005-08-16 00:00:00,,,2021-11-06 02:25:48.4351036,1,18,11
229,2005-08-17 00:00:00,,,2021-11-06 02:25:49.0658022,1,18,11
230,2005-08-18 00:00:00,,,2021-11-06 02:25:49.6998248,1,18,11
231,2005-08-19 00:00:00,,,2021-11-06 02:25:50.3371753,1,18,11
232,2005-08-20 00:00:00,Weekend,,2021-11-06 02:25:51.006337,0,0,0
233,2005-08-21 00:00:00,Weekend,,2021-11-06 02:25:51.0278835,0,0,0
234,2005-08-22 00:00:00,,,2021-11-06 02:25:51.0508494,1,18,11
235,2005-08-23 00:00:00,,,2021-11-06 02:25:51.7229904,1,18,11
236,2005-08-24 00:00:00,,,2021-11-06 02:25:52.3998965,1,18,11
237,2005-08-25 00:00:00,,,2021-11-06 02:25:53.0798849,1,18,11
238,2005-08-26 00:00:00,,,2021-11-06 02:25:53.7466145,1,18,11
239,2005-08-27 00:00:00,Weekend,,2021-11-06 02:25:54.4213599,0,0,0
240,2005-08-28 00:00:00,Weekend,,2021-11-06 02:25:54.4453467,0,0,0
241,2005-08-29 00:00:00,,,2021-11-06 02:25:54.4692691,1,18,11
242,2005-08-30 00:00:00,No data exists,The remote server returned an error: (404) Not Found.,2021-11-06 02:25:55.1546619,0,0,0
243,2005-08-31 00:00:00,,,2021-11-06 02:25:55.3493925,1,18,11
244,2005-09-01 00:00:00,,,2021-11-06 02:25:56.0408829,1,18,11
245,2005-09-02 00:00:00,,,2021-11-06 02:26:07.8061276,1,18,11
246,2005-09-03 00:00:00,Weekend,,2021-11-06 02:26:08.5328254,0,0,0
247,2005-09-04 00:00:00,Weekend,,2021-11-06 02:26:08.5581755,0,0,0
248,2005-09-05 00:00:00,,,2021-11-06 02:26:08.5837942,1,18,11
249,2005-09-06 00:00:00,,,2021-11-06 02:26:09.3076382,1,18,11
250,2005-09-07 00:00:00,,,2021-11-06 02:26:10.0710686,1,18,11
251,2005-09-08 00:00:00,,,2021-11-06 02:26:10.7921852,1,18,11
252,2005-09-09 00:00:00,,,2021-11-06 02:26:11.5300632,1,18,11
253,2005-09-10 00:00:00,Weekend,,2021-11-06 02:26:12.461133,0,0,0
254,2005-09-11 00:00:00,Weekend,,2021-11-06 02:26:12.4859359,0,0,0
255,2005-09-12 00:00:00,,,2021-11-06 02:26:12.510158,1,18,11
256,2005-09-13 00:00:00,,,2021-11-06 02:26:13.2378298,1,18,11
257,2005-09-14 00:00:00,,,2021-11-06 02:26:13.979034,1,18,11
258,2005-09-15 00:00:00,,,2021-11-06 02:26:14.7428568,1,18,11
259,2005-09-16 00:00:00,,,2021-11-06 02:26:15.5258053,1,18,11
260,2005-09-17 00:00:00,Weekend,,2021-11-06 02:26:16.2661594,0,0,0
261,2005-09-18 00:00:00,Weekend,,2021-11-06 02:26:16.2927114,0,0,0
